pair_label,family,forbidden_rate
00,Z,0.0
01,Z,0.9999999999999991
10,Z,0.0
11,Z,0.9999999999999991
++,X,0.49999999999999933
+-,X,0.49999999999999933
-+,X,0.49999999999999933
--,X,0.49999999999999933
