threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.16,20,mad05,1.0,1.0,1.0
0.17,2,mad05,1.0,0.9855,0.99275
0.17,4,mad05,1.0,0.9995,0.99975
0.17,6,mad05,1.0,1.0,1.0
0.17,8,mad05,1.0,1.0,1.0
0.17,10,mad05,1.0,1.0,1.0
0.17,12,mad05,1.0,1.0,1.0
0.17,16,mad05,1.0,1.0,1.0
0.17,20,mad05,1.0,1.0,1.0
0.18,2,mad05,1.0,0.9855,0.99275
0.18,4,mad05,1.0,0.9995,0.99975
0.18,6,mad05,1.0,1.0,1.0
0.18,8,mad05,1.0,1.0,1.0
0.18,10,mad05,1.0,1.0,1.0
0.18,12,mad05,1.0,1.0,1.0
0.18,16,mad05,1.0,1.0,1.0
0.18,20,mad05,1.0,1.0,1.0
0.19,2,mad05,1.0,0.9855,0.99275
0.19,4,mad05,1.0,0.9995,0.99975
0.19,6,mad05,1.0,1.0,1.0
0.19,8,mad05,1.0,1.0,1.0
0.19,10,mad05,1.0,1.0,1.0
0.19,12,mad05,1.0,1.0,1.0
0.19,16,mad05,1.0,1.0,1.0
0.19,20,mad05,1.0,1.0,1.0
0.2,2,mad05,1.0,0.9855,0.99275
0.2,4,mad05,1.0,0.9995,0.99975
0.2,6,mad05,1.0,1.0,1.0
0.2,8,mad05,1.0,1.0,1.0
0.2,10,mad05,1.0,1.0,1.0
0.2,12,mad05,1.0,1.0,1.0
0.2,16,mad05,1.0,1.0,1.0
0.2,20,mad05,1.0,1.0,1.0
0.21,2,mad05,1.0,0.9855,0.99275
0.21,4,mad05,1.0,0.9995,0.99975
0.21,6,mad05,1.0,1.0,1.0
0.21,8,mad05,1.0,1.0,1.0
0.21,10,mad05,1.0,1.0,1.0
0.21,12,mad05,1.0,1.0,1.0
0.21,16,mad05,1.0,1.0,1.0
0.21,20,mad05,1.0,1.0,1.0
0.22,2,mad05,1.0,1.0,1.0
0.22,4,mad05,1.0,1.0,1.0
