threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.0,2,var,0.0,1.0,0.5
0.02,4,var,0.5065,1.0,0.75325
0.01,6,var,0.7665,1.0,0.88325
0.015,8,var,0.869,1.0,0.9345
0.015,10,var,0.9315,1.0,0.96575
0.01,12,var,0.9695,1.0,0.98475
0.01,16,var,0.994,1.0,0.997
0.01,20,var,0.997,1.0,0.9984999999999999
